osmid,oneway,lanes,ref,highway,maxspeed,length,geometry,name,bridge,width,access,junction,tunnel,service,comprimento_m,comprimento_km
206786304,False,,,residential,,492.42299999999994,"LINESTRING (-4786828.306294153 -2610938.481157217, -4786836.354693337 -2610976.4657475725, -4786843.22310592 -2611015.585740149, -4786849.790955876 -2611060.3703349647, -4786858.596327598 -2611107.2445250885, -4786866.511143394 -2611143.9734028513, -4786871.654103869 -2611167.187158771, -4786875.394438759 -2611176.402618311, -4786879.791558646 -2611181.2217138894, -4786884.422449462 -2611184.0237951744, -4786887.294492325 -2611184.325743618, -4786892.559904239 -2611182.562364789, -4786898.604552589 -2611172.718849461, -4786908.979529131 -2611155.326640465, -4786927.414036807 -2611114.8656698936, -4786930.3306074655 -2611103.36752568, -4786930.853809072 -2611092.920164223, -4786930.197024076 -2611077.9194556833, -4786921.725610827 -2610920.0625877636)",Rua Fernando Azevedo,,,,,,,534.8625981658369,0.5348625981658368
259543122,True,2,,primary,,177.324,"LINESTRING (-4786828.306294153 -2610938.481157217, -4786830.232121345 -2611004.9814229924, -4786835.753568088 -2611069.6219681916, -4786836.354693337 -2611090.2267992827, -4786835.453005462 -2611113.6699591437, -4786833.516046322 -2611130.6877092165)",Rua Jovelino Oliveira Viana,,,,,,,192.60579648830776,0.19260579648830775
31055520,True,2,,primary,,103.90100000000001,"LINESTRING (-4787060.941766012 -2610239.483737568, -4787096.6419267105 -2610254.0730545805, -4787123.72595882 -2610262.587521235, -4787168.465262171 -2610272.816964308)",Rua Doutor Alfredo Backer,,,,,,,112.8508965801507,0.1128508965801507
"[140771121, 140770980]",False,,,pedestrian,,56.093999999999994,"LINESTRING (-4787060.941766012 -2610239.483737568, -4787060.418564406 -2610251.476445059, -4787058.515001114 -2610259.193811302, -4787052.448088866 -2610270.9208332933, -4787044.05459926 -2610283.6140457173, -4787042.585181981 -2610284.67684606, -4787034.670366186 -2610291.935291148)",Rua Yolanda Sad Abuzaid,,,,,,,60.92621182177291,0.06092621182177291
31055520,True,2,,primary,,34.942,"LINESTRING (-4787168.465262171 -2610272.816964308, -4787205.556916503 -2610280.848349692)",Rua Doutor Alfredo Backer,,,,,,,37.951205149478,0.037951205149478
855370417,False,,,residential,,10.346,"LINESTRING (-4787168.465262171 -2610272.816964308, -4787166.561698878 -2610261.742113001)",Travessa Major Alan José de Barros,,,,,,,11.23725432092147,0.01123725432092147
784384467,True,2,,primary,,10.697,"LINESTRING (-4787205.556916503 -2610280.848349692, -4787217.167539392 -2610280.4256451)",Rua Doutor Alfredo Backer,,,,,,,11.618314982361014,0.011618314982361013
33126486,False,4,,primary,60,45.05200000000001,"LINESTRING (-4787479.926065461 -2610129.2067939267, -4787509.648369502 -2610112.3229289395, -4787518.609588511 -2610107.2263722424, -4787522.349923402 -2610104.835097369)",Rua Doutor Alfredo Backer,,,,,,,48.931582117512654,0.048931582117512654
33126486,False,4,,primary,60,40.104,"LINESTRING (-4787479.926065461 -2610129.2067939267, -4787466.89055309 -2610136.984488637, -4787442.5783763 -2610151.6220234386)",Rua Doutor Alfredo Backer,,,,,,,43.55799844110666,0.04355799844110666
969791776,False,,,service,,31.308,"LINESTRING (-4787479.926065461 -2610129.2067939267, -4787471.922194073 -2610113.0596351335, -4787464.831142509 -2610098.736140303)",,,,,,,,34.00466883002264,0.034004668830022636
654695611,False,4,,primary,60,8.349,"LINESTRING (-4787522.349923402 -2610104.835097369, -4787530.253607249 -2610100.3907086295)",Rua Doutor Alfredo Backer,,,,,,,9.067569112856809,0.009067569112856808
33126486,False,4,,primary,60,45.052,"LINESTRING (-4787522.349923402 -2610104.835097369, -4787518.609588511 -2610107.2263722424, -4787509.648369502 -2610112.3229289395, -4787479.926065461 -2610129.2067939267)",Rua Doutor Alfredo Backer,,,,,,,48.93158211751266,0.04893158211751266
654696074,False,4,,primary,60,20.54,"LINESTRING (-4788047.321510035 -2610034.884422604, -4788069.418428957 -2610037.9520046595)",Rua Doutor Alfredo Backer,,,,,,,22.308829766483637,0.022308829766483636
654696074,False,4,,primary,60,77.876,"LINESTRING (-4788047.321510035 -2610034.884422604, -4788023.810833579 -2610031.0076760226, -4787989.624617957 -2610023.6164981555, -4787964.31056575 -2610018.7494334984)",Rua Doutor Alfredo Backer,,,,,,,84.58194174834154,0.08458194174834154
855386134,False,,,service,,73.452,"LINESTRING (-4788047.321510035 -2610034.884422604, -4788047.822447742 -2610022.8677188833, -4788049.636955443 -2609979.957892726, -4788050.2380806925 -2609955.1637211023)",,,,,,,,79.77677164893066,0.07977677164893066
654696074,False,4,,primary,60,41.046,"LINESTRING (-4788117.118830762 -2610046.236894487, -4788160.711543356 -2610055.5724969166)",Rua Doutor Alfredo Backer,,,,,,,44.581140228189845,0.04458114022818985
654696074,False,4,,primary,60,7.888,"LINESTRING (-4788117.118830762 -2610046.236894487, -4788108.725341155 -2610044.5219461042)",Rua Doutor Alfredo Backer,,,,,,,8.566896505311913,0.008566896505311913
191858201,False,,,residential,,254.603,"LINESTRING (-4788372.107256372 -2610106.5500520407, -4788350.678254395 -2609998.435794572, -4788312.395481512 -2609836.5918184905)",Travessa Leopoldina Vieira,,,,,,,276.5275703574936,0.2765275703574936
221625135,False,,,residential,,176.38500000000002,"LINESTRING (-4788372.107256372 -2610106.5500520407, -4788371.806693747 -2610115.3542939806, -4788369.72501927 -2610120.583701918, -4788284.454289323 -2610275.848358932)",Travessa Maria Brigida,,,,,,,191.57683633986144,0.19157683633986144
654696074,False,4,,primary,60,64.827,"LINESTRING (-4788372.107256372 -2610106.5500520407, -4788387.636325338 -2610106.694977796, -4788442.427778707 -2610103.566997199)",Rua Doutor Alfredo Backer,,,,,,,70.4104123463309,0.0704104123463309
